From	To
O15552	CHEMBL5493
O15554	CHEMBL4305
O43143	CHEMBL4295661
O43148	CHEMBL4295662
O43151	CHEMBL4879414
O43167	CHEMBL5069371
O43169	CHEMBL4523134
O43174	CHEMBL5141
O43175	CHEMBL2311243
O43181	CHEMBL2363065
O43184	CHEMBL5030
O43187	CHEMBL4105759
O43193	CHEMBL2203
O43194	CHEMBL3091266
O43242	CHEMBL2364701
O43280	CHEMBL3087
O43283	CHEMBL1163124
O43293	CHEMBL2468
O43298	CHEMBL5069369
O43306	CHEMBL2097167
O43314	CHEMBL4523135
O43318	CHEMBL5776
O43353	CHEMBL5014
O43396	CHEMBL4295663
O43424	CHEMBL4524129
O43426	CHEMBL4523136
O43451	CHEMBL2074
O43463	CHEMBL1795118
O43464	CHEMBL4523137
O43497	CHEMBL4641
O43508	CHEMBL3713023
O43511	CHEMBL4523138
O43521	CHEMBL5777
O43524	CHEMBL5778
O43525	CHEMBL2684
O43526	CHEMBL2476
O43557	CHEMBL3712914
O43561	CHEMBL5779
O43570	CHEMBL3242
O43592	CHEMBL4105803
O43598	CHEMBL3351218
O43603	CHEMBL3176
O43613	CHEMBL5113
O43614	CHEMBL4792
O43653	CHEMBL3712961
O43674	CHEMBL2363065
O43676	CHEMBL2363065
O43677	CHEMBL2363065
O43678	CHEMBL2363065
O43683	CHEMBL1772932
O43704	CHEMBL1743294
O43708	CHEMBL4949
O43734	CHEMBL4523586
O43739	CHEMBL3259466
O43741	CHEMBL2117
O43772	CHEMBL2216740
O43781	CHEMBL4575
O43790	CHEMBL4523139
O43791	CHEMBL4523140
O43826	CHEMBL3217398
O43829	CHEMBL5069377
O43865	CHEMBL3751646
O43868	CHEMBL5780
O43895	CHEMBL4610
O43897	CHEMBL4295664
O43920	CHEMBL2363065
O43921	CHEMBL1795109
O43924	CHEMBL3860
O60218	CHEMBL5983
O60232	CHEMBL4105996
O60235	CHEMBL1795138
O60240	CHEMBL1741164
O60256	CHEMBL2646
O60259	CHEMBL4812
O60266	CHEMBL3164
O60282	CHEMBL2029194
O60285	CHEMBL5784
O60307	CHEMBL2417352
O60313	CHEMBL4105705
O60331	CHEMBL1908383
O60333	CHEMBL5889
O60341	CHEMBL6136
O60346	CHEMBL3414405
O60359	CHEMBL2363032
O60361	CHEMBL4105936
O60391	CHEMBL2094124
O60427	CHEMBL5840
O60449	CHEMBL4804258
O60462	CHEMBL4295667
O60488	CHEMBL4680022
O60502	CHEMBL5921
O60503	CHEMBL2655
O60506	CHEMBL4295997
O60547	CHEMBL4105807
O60551	CHEMBL2849
O60563	CHEMBL2108
O60566	CHEMBL4295998
O60583	CHEMBL1293321
O60602	CHEMBL2176839
O60603	CHEMBL4163
O60610	CHEMBL4295668
O60656	CHEMBL1743319
O60658	CHEMBL4640
O60664	CHEMBL4523145
O60669	CHEMBL2073704
O60671	CHEMBL3309116
O60674	CHEMBL2971
O60675	CHEMBL2346484
O60678	CHEMBL5891
O60704	CHEMBL3178
O60706	CHEMBL1971
O60725	CHEMBL4699
O60733	CHEMBL3213
O60741	CHEMBL1795171
O60755	CHEMBL2731
O60760	CHEMBL5879
O60763	CHEMBL4295669
O60779	CHEMBL3079
O60825	CHEMBL3421525
O60840	CHEMBL2363032
O60841	CHEMBL4105852
O60869	CHEMBL4295670
O60880	CHEMBL2321636
O60882	CHEMBL1938226
O60883	CHEMBL5892
O60884	CHEMBL4295671
O60885	CHEMBL1163125
O60894	CHEMBL2107838
O60894	CHEMBL2111189
O60895	CHEMBL2109232
O60895	CHEMBL2364173
O60896	CHEMBL2111190
O60896	CHEMBL2111191
O60906	CHEMBL4712
O60911	CHEMBL3272
O60928	CHEMBL2146349
O60930	CHEMBL5893
O60931	CHEMBL4630803
O60934	CHEMBL5169101
O60939	CHEMBL5446
