From	To
P53987	CHEMBL2073709
P47824	CHEMBL2530
P00762	CHEMBL3638328
Q9R0C9	CHEMBL3602
Q8CJ44	CHEMBL3769295
P12711	CHEMBL4295715
O54898	CHEMBL4257
P39052	CHEMBL2311233
P04636	CHEMBL2176835
O35913	CHEMBL1781860
P19112	CHEMBL4391
P20291	CHEMBL1921661
Q9WVK7	CHEMBL2176821
P11730	CHEMBL5109
Q62755	CHEMBL4105785
Q9JLS3	CHEMBL4523465
P04177	CHEMBL2462
P26684	CHEMBL4566
Q09326	CHEMBL4879456
P32577	CHEMBL4365
Q05096	CHEMBL4295803
Q02401	CHEMBL3389
P70619	CHEMBL3286088
P10760	CHEMBL3118
O88761	CHEMBL2176782
Q9JJ16	CHEMBL2094116
P32038	CHEMBL4295743
Q02294	CHEMBL5107
Q9R297	CHEMBL3875
P60881	CHEMBL1075243
Q63010	CHEMBL2366498
P12336	CHEMBL4295714
P06494	CHEMBL3848
P50282	CHEMBL3870
P35351	CHEMBL257
Q62685	CHEMBL4523336
Q8K5E0	CHEMBL4424
P14272	CHEMBL4105792
P43428	CHEMBL4759
P31214	CHEMBL5099
Q9JJ73	CHEMBL2109235
Q63563	CHEMBL3244
Q9EQV9	CHEMBL4879512
P47752	CHEMBL3616360
Q62848	CHEMBL2146307
P08011	CHEMBL4630811
P12390	CHEMBL1907587
P12390	CHEMBL1907592
P12390	CHEMBL1907596
P12390	CHEMBL3137275
P84903	CHEMBL3832645
P26817	CHEMBL4105719
Q01986	CHEMBL3430876
P20786	CHEMBL2111344
P11762	CHEMBL4523183
O88496	CHEMBL2744
Q9EPB1	CHEMBL4352
P25409	CHEMBL3260
P04694	CHEMBL5947
P35349	CHEMBL3842
P08503	CHEMBL2176828
P09367	CHEMBL1075240
P63059	CHEMBL4823
Q06486	CHEMBL4484
P27139	CHEMBL4706
P05183	CHEMBL3324
B0BNF9	CHEMBL2021746
Q5FVR2	CHEMBL1075244
Q9ERC0	CHEMBL3309
Q63415	CHEMBL5507
P22199	CHEMBL3507
P61169	CHEMBL339
P42676	CHEMBL5169134
Q80Z29	CHEMBL3259475
Q9Z0Y8	CHEMBL5459
Q9QX72	CHEMBL2176808
P29410	CHEMBL2376
E9PU00	CHEMBL4295541
Q9ERM3	CHEMBL6129
P22002	CHEMBL3762
Q9Z2Z8	CHEMBL4965
F1M3J4	CHEMBL2073711
P17325	CHEMBL3341579
Q6IMK5	CHEMBL3017
P12391	CHEMBL3137275
P12391	CHEMBL3883329
P63319	CHEMBL3604
P20171	CHEMBL5169120
Q64686	CHEMBL2198
P26824	CHEMBL6041
Q03114	CHEMBL5901
Q7TQN8	CHEMBL5262
P51870	CHEMBL3509598
Q8CFN2	CHEMBL3308943
P19020	CHEMBL3138
P15127	CHEMBL5486
P27791	CHEMBL3390
P97570	CHEMBL1075318
Q4G017	CHEMBL5221
P19491	CHEMBL3503
O88563	CHEMBL2073682
Q63424	CHEMBL3325
Q9JII9	CHEMBL1075172
P49616	CHEMBL3638329
P58295	CHEMBL3195
P16257	CHEMBL4552
P55926	CHEMBL3562170
P53792	CHEMBL4316
P41498	CHEMBL5169132
Q09137	CHEMBL4637
P16232	CHEMBL2391
Q9EQD2	CHEMBL3425
P24470	CHEMBL2772
P07943	CHEMBL2622
P15650	CHEMBL2176836
O70444	CHEMBL3638335
Q6R6I6	CHEMBL4739859
Q8CHN6	CHEMBL3826869
P01161	CHEMBL4287
Q8VHN2	CHEMBL1907608
Q8VHN2	CHEMBL2096669
Q8VHN2	CHEMBL4524129
D3ZFJ0	CHEMBL4295534
P45953	CHEMBL2176830
P06760	CHEMBL4814
Q99MI5	CHEMBL2429
Q63207	CHEMBL3755
P35570	CHEMBL1163110
B5DF27	CHEMBL4105908
P35524	CHEMBL4524038
Q9JMD7	CHEMBL5797
B5DFI9	CHEMBL2096663
P21643	CHEMBL2686
P13264	CHEMBL4523186
P15384	CHEMBL4248
P70673	CHEMBL3038487
P31646	CHEMBL4889
P40146	CHEMBL2095179
P10688	CHEMBL1914273
Q64560	CHEMBL4675
Q9R1K8	CHEMBL3109
Q6AY53	CHEMBL2539
O54698	CHEMBL4604
P08683	CHEMBL4971
Q66H76	CHEMBL5613
P70600	CHEMBL1075222
P08424	CHEMBL2322
P09215	CHEMBL3633
P07727	CHEMBL3246
P06211	CHEMBL2724
P07861	CHEMBL3369
P17425	CHEMBL2189
Q99MK2	CHEMBL1932911
P43140	CHEMBL319
P04642	CHEMBL2176824
P42260	CHEMBL3607
Q62968	CHEMBL4017
P42893	CHEMBL2676
Q8CG09	CHEMBL5680
D3Z9J1	CHEMBL4523111
P19969	CHEMBL300
Q62773	CHEMBL1287616
Q07523	CHEMBL2021745
D3ZGQ2	CHEMBL5489
P27435	CHEMBL3320
P25110	CHEMBL3885509
P25110	CHEMBL4523658
Q62658	CHEMBL2095
Q923Y9	CHEMBL3833
P17708	CHEMBL3808
Q62600	CHEMBL1075230
P10499	CHEMBL5190
Q5KTC7	CHEMBL2034805
Q9JHG3	CHEMBL2398
P05178	CHEMBL1907986
P07379	CHEMBL1075234
P32214	CHEMBL2204
Q9Z1L0	CHEMBL3608198
O88867	CHEMBL3457
Q63447	CHEMBL4827
Q62805	CHEMBL5504
P00786	CHEMBL3308952
Q6Y1R5	CHEMBL2325
P07687	CHEMBL2299
P31388	CHEMBL3372
P22771	CHEMBL2328
P08909	CHEMBL324
P51673	CHEMBL4345
P33533	CHEMBL269
P51871	CHEMBL3509599
Q6IYF9	CHEMBL2150839
P16453	CHEMBL3243911
P09057	CHEMBL3511
P23457	CHEMBL1075221
Q9WV87	CHEMBL1075231
Q62622	CHEMBL5169161
P02767	CHEMBL2151
P15205	CHEMBL3217383
P20070	CHEMBL4523194
P17712	CHEMBL3882
D3ZJF9	CHEMBL4110
P26431	CHEMBL2577
Q5RJQ4	CHEMBL3232690
P97639	CHEMBL1075228
Q9ES14	CHEMBL1907607
P54001	CHEMBL3301
P53669	CHEMBL3407314
Q64654	CHEMBL4981
O08726	CHEMBL5577
Q09128	CHEMBL3748
D4A7E4	CHEMBL4524016
P50233	CHEMBL2908
Q9QZH4	CHEMBL4523617
Q8K1P8	CHEMBL2073720
P27926	CHEMBL3632
P21451	CHEMBL4631
Q02485	CHEMBL4108
P22985	CHEMBL1075246
Q924U1	CHEMBL1169599
D3ZZH6	CHEMBL4295637
P18125	CHEMBL2339
P16617	CHEMBL2176815
P09483	CHEMBL307
P22449	CHEMBL3714705
Q8K418	CHEMBL1075111
P51647	CHEMBL2931
P14925	CHEMBL4963
P49651	CHEMBL2497
P04634	CHEMBL4802004
Q64550	CHEMBL4523339
P00176	CHEMBL3335
Q6T3U3	CHEMBL5161
Q62857	CHEMBL3797018
P04905	CHEMBL2209
P48548	CHEMBL3714708
Q9R1U7	CHEMBL2073666
Q64610	CHEMBL3826870
O88397	CHEMBL2073692
O88766	CHEMBL2312
O35767	CHEMBL4105991
Q64346	CHEMBL5511
P05369	CHEMBL1075093
P70596	CHEMBL2700
E9PTA2	CHEMBL4295638
O70594	CHEMBL1075238
P14137	CHEMBL5246
P23739	CHEMBL3114
P15393	CHEMBL4970
P32301	CHEMBL5862
Q99P96	CHEMBL2095943
Q62668	CHEMBL3739246
Q63120	CHEMBL2073676
P35364	CHEMBL4655
D3ZNG3	CHEMBL4105913
P10111	CHEMBL2780
P07340	CHEMBL4106147
P07340	CHEMBL4106148
P07340	CHEMBL4106149
P07340	CHEMBL4106165
Q62795	CHEMBL3398
Q08463	CHEMBL4879454
Q9R141	CHEMBL2073667
Q9WTT6	CHEMBL3308947
Q5RJP0	CHEMBL3421523
O08590	CHEMBL4592
O70196	CHEMBL4035
O54748	CHEMBL5169099
O35760	CHEMBL4523132
P39069	CHEMBL3773
Q9ERD9	CHEMBL4523451
Q9JHI3	CHEMBL2073698
Q9QYN8	CHEMBL4124
O88457	CHEMBL2629
P21139	CHEMBL2852
P29411	CHEMBL4799
P70597	CHEMBL5068
Q64640	CHEMBL2384
Q63449	CHEMBL2596
B2GV46	CHEMBL3886125
Q9Z286	CHEMBL5169208
Q8R4G1	CHEMBL3341575
P49889	CHEMBL4831
P97612	CHEMBL3229
P35563	CHEMBL2411
P49088	CHEMBL2303
P00689	CHEMBL2699
P30729	CHEMBL3361
Q5FVP8	CHEMBL4295847
P04774	CHEMBL4906
F1LWD8	CHEMBL3632456
P48500	CHEMBL2176801
P30543	CHEMBL302
P54287	CHEMBL3137269
P54287	CHEMBL3137270
P54287	CHEMBL4296086
Q9JMI9	CHEMBL4105916
Q63065	CHEMBL2096663
P04897	CHEMBL4524034
P31652	CHEMBL313
P57790	CHEMBL4523596
P97583	CHEMBL4613
P11497	CHEMBL2397
P63138	CHEMBL2095167
P63138	CHEMBL2111327
P63138	CHEMBL2111343
P63138	CHEMBL2111365
P63138	CHEMBL3883322
P63138	CHEMBL4296055
P63138	CHEMBL4296056
P63138	CHEMBL4296063
P15387	CHEMBL1075226
Q6AYT7	CHEMBL3708071
P17764	CHEMBL3393
P28494	CHEMBL2257
P07174	CHEMBL4523169
P33274	CHEMBL3509587
P23570	CHEMBL5927
P41516	CHEMBL3400
Q63470	CHEMBL5508
P45446	CHEMBL4105721
P07308	CHEMBL5424
P48450	CHEMBL3262
P30099	CHEMBL3237
Q04631	CHEMBL2095197
Q04631	CHEMBL2111479
O88446	CHEMBL1770033
P41740	CHEMBL5169133
Q4KLZ0	CHEMBL4802062
P21708	CHEMBL5809
Q920D2	CHEMBL2363
P31016	CHEMBL3797015
P10686	CHEMBL5188
P13444	CHEMBL2195
P14646	CHEMBL3382
P48974	CHEMBL2659
P30904	CHEMBL4524037
Q8VD48	CHEMBL1075220
O08562	CHEMBL3312
P16235	CHEMBL2456
Q6XCE7	CHEMBL1075235
P28037	CHEMBL3414419
P17164	CHEMBL2710
P18113	CHEMBL3917
P15823	CHEMBL315
P41738	CHEMBL5400
P36506	CHEMBL3430876
P05696	CHEMBL2855
Q63704	CHEMBL3216
P22756	CHEMBL2919
Q5U3Y7	CHEMBL4105864
Q99P99	CHEMBL2095943
Q63341	CHEMBL5506
Q01812	CHEMBL3044
Q07014	CHEMBL4363
Q5YLM1	CHEMBL4523331
